OBJECTID,DISTRICT,NAME,NUM_MEMBER,IDEAL_POP,IS_LOCKED,SHAPE_AREA,SHAPE_LEN,bgTotal,bgMinority,pctMinoritybg,totV,mpV,pctMP,chArea,chTotal,chMinority,chPct,chDiff,chAbsDiff,mbcArea,mbcTotal,mbcMinority,mbcPct,mbcDiff,mbcAbsDiff,chtotV,chmpV,chPctV,chDiffV,chAbsDiffV,mbctotV,mbcmpV,mbcPctV,mbcDiffV,mbcAbsDiffV,darea,dperim,compact_shp,compact_hull,compact_circ
1,1,District 1,1,776292,0,2.05214620725,13.0406065636,608798.2728093493,81288.07082691495,13.4,369581.9975908269,112920.00060007819,30.6,31623139474.6712,1190668.086034958,364813.1661354568,30.6,-17.200000000000003,17.200000000000003,45095496161.0798,1339036.4582225746,404864.34762917116,30.2,-16.799999999999997,16.799999999999997,667299.5956764317,303766.3947779993,45.5,-14.899999999999999,14.899999999999999,749975.4469469849,329731.49212109565,44,-13.399999999999999,13.399999999999999,22024538940.5893,1336173.79884322,0.16,0.7,0.49
2,2,District 2,1,776292,1,0.578005996434,8.19231872989,592737.8033729056,300084.4103438211,50.6,313931.0018533939,207146.0019833085,66,10808436574.5544,1152089.3551549914,396921.96526230674,34.5,16.1,16.1,30368319154.2674,1867182.253187433,610840.2699425067,32.7,17.9,17.9,622275.765630289,317425.0099932534,51,15,15,1037557.8975216976,465978.44715554896,44.9,21.1,21.1,6184996041.9615,839509.174492478,0.11,0.57,0.2
3,3,District 3,1,776292,0,2.56800813243,13.3488791364,589328.7491330712,133939.20036504607,22.7,331075.9999619153,89993.00008687748,27.2,38694861653.4602,775965.2501042914,191319.9191612003,24.7,-2,2,110271318732.948,1567561.1605284563,456980.1892268394,29.2,-6.5,6.5,438743.88397556276,128133.02096167464,29.2,-2,2,891457.3178417513,311743.52286798204,35,-7.800000000000001,7.800000000000001,27552157376.9898,1354968.35683328,0.19,0.71,0.25
4,4,District 4,1,776292,0,3.71220882393,24.1357230642,594525.5516396766,123901.21649382183,20.8,332508.9988107647,78192.00001084169,23.5,55334342455.9353,1027998.0105764846,319525.2014523318,31.1,-10.3,10.3,95994542569.4645,1276933.0801167085,396056.05649615236,31,-10.2,10.2,541368.6870509661,177014.65744234005,32.7,-9.200000000000003,9.200000000000003,685904.089517083,219890.25855698995,32.1,-8.600000000000001,8.600000000000001,39016711880.6,2451650.03340919,0.08,0.71,0.41
5,5,District 5,1,776292,0,2.65780071953,20.4803577615,593314.2993400409,161153.53855990284,27.2,318941.1684696613,100550.0728891748,31.5,52250500429.3181,971696.7163825386,321995.7381905692,33.1,-5.900000000000002,5.900000000000002,86121055907.727,1150688.5796263514,369740.03740422026,32.1,-4.900000000000002,4.900000000000002,535739.0121624868,202893.07085394053,37.9,-6.399999999999999,6.399999999999999,645435.426905192,237819.35497473218,36.8,-5.299999999999997,5.299999999999997,27956964593.0133,2072242.99934911,0.08,0.54,0.32
6,6,District 6,1,776292,0,1.23356028693,17.4094873482,591686.316060489,315367.28519554366,53.3,309335.8322468342,178068.92698705895,57.6,30291541272.6367,988243.2876014528,402265.2640785777,40.7,12.599999999999994,12.599999999999994,109489173965.024,2029253.7062563733,659764.4182495875,32.5,20.799999999999997,20.799999999999997,526422.5070678073,242140.65688008151,46,11.600000000000001,11.600000000000001,1106683.6792525111,401936.8565757633,36.3,21.300000000000004,21.300000000000004,13044556671.424,1774205.68811505,0.05,0.43,0.12
