OBJECTID,DISTRICT,NAME,NUM_MEMBER,IDEAL_POP,IS_LOCKED,SHAPE_AREA,SHAPE_LEN,bgTotal,bgMinority,pctMinoritybg,totV,mpV,pctMP,chArea,chTotal,chMinority,chPct,chDiff,chAbsDiff,mbcArea,mbcTotal,mbcMinority,mbcPct,mbcDiff,mbcAbsDiff,chtotV,chmpV,chPctV,chDiffV,chAbsDiffV,mbctotV,mbcmpV,mbcPctV,mbcDiffV,mbcAbsDiffV,darea,dperim,compact_shp,compact_hull,compact_circ
2,2,District 2,1,776292,1,0.578005996434,8.19231872989,592737.8033729056,300084.4103438211,50.6,313931.0018533939,207146.0019833085,66,10808436574.5544,1152089.3551549914,396921.96526230674,34.5,16.1,16.1,30368319154.2674,1867182.253187433,610840.2699425067,32.7,17.9,17.9,622275.765630289,317425.0099932534,51,15,15,1037557.8975216976,465978.44715554896,44.9,21.1,21.1,6184996041.9615,839509.174492478,0.11,0.57,0.2
3,3,District 3,1,776292,0,2.56800813243,13.3488791364,589328.7491244251,133939.20036504391,22.7,331075.9999276407,89993.00008272479,27.2,36032076508.3289,775960.713922548,191319.8188302578,24.7,-2,2,108725160045.906,1637501.7101437193,482168.97707711987,29.4,-6.699999999999999,6.699999999999999,438741.0630508532,128132.71194336441,29.2,-2,2,932639.6111414529,327439.23440471344,35.1,-7.900000000000002,7.900000000000002,22413885017.9679,1759462.7618766,0.09,0.62,0.21
4,4,District 4,1,776292,0,3.71220882393,24.1357230642,594525.4755530407,123901.2030132149,20.8,332508.99901071354,78192.00003895552,23.5,55327250476.3348,1027997.9950101754,319525.1982052511,31.1,-10.3,10.3,95993761900.9879,1276967.9568801443,396064.841356559,31,-10.2,10.2,541368.687045264,177014.65744099428,32.7,-9.200000000000003,9.200000000000003,685930.511652992,219897.5368418475,32.1,-8.600000000000001,8.600000000000001,39007137120.3143,2429252.97621288,0.08,0.71,0.41
5,5,District 5,1,776292,0,2.65780071953,20.4803577615,593314.2322784294,161153.51497264844,27.2,318941.1685732679,100550.07291911794,31.5,52249775098.5188,971696.7127807254,321995.73767187545,33.1,-5.900000000000002,5.900000000000002,86120144730.2702,1150732.6596730107,369761.314066959,32.1,-4.900000000000002,4.900000000000002,535739.0121624614,202893.07085393308,37.9,-6.399999999999999,6.399999999999999,645457.8330500086,237829.29658871595,36.8,-5.299999999999997,5.299999999999997,27950184824.9203,2064692.51251085,0.08,0.53,0.32
6,6,District 6,1,776292,0,1.23356028693,17.4094873482,591686.316060489,315367.28519554366,53.3,309335.8322468342,178068.92698705895,57.6,30291541272.6367,988243.2876014528,402265.2640785777,40.7,12.599999999999994,12.599999999999994,109489173965.024,2029253.7062563733,659764.4182495875,32.5,20.799999999999997,20.799999999999997,526422.5070678073,242140.65688008151,46,11.600000000000001,11.600000000000001,1106683.6792525111,401936.8565757633,36.3,21.300000000000004,21.300000000000004,13044556671.424,1774205.68811505,0.05,0.43,0.12
1,1,District 1,1,776292,0,2.05214620725,13.0406065636,608798.2724461799,81288.07079827486,13.4,369581.99728884565,112920.00056508911,30.6,28720395605.7691,1181137.8793606283,363109.5125256403,30.7,-17.299999999999997,17.299999999999997,41891694513.332,1338608.039454379,403930.56979665556,30.2,-16.799999999999997,16.799999999999997,663301.510427872,302895.1769377686,45.7,-15.100000000000001,15.100000000000001,749451.703846575,329096.2004306778,43.9,-13.299999999999997,13.299999999999997,13501733103.2777,2200366.76428303,0.04,0.47,0.32
